DAMAGED,LENGTH,FREQ,SPACE,UNSHELLED,TIME
3.55,1,175,0.86,284,16
8.23,1.25,130,0.63,149,9.25
3.15,1.25,130,1.09,240,18
5.26,1.25,220,0.63,155,4.75
4.23,1.25,220,1.09,197,15.5
3.54,1.75,100,0.86,154,13
8.16,1.75,175,0.48,100,3.5
3.27,1.75,175,0.86,176,7
4.38,1.75,175,0.86,177,6.25
3.26,1.75,175,0.86,212,6.5
3.57,1.75,175,0.86,200,6.5
4.65,1.75,175,0.86,160,6.5
4.02,1.75,175,0.86,176,6.5
3.8,1.75,175,1.23,195,12
4.05,1.75,250,0.86,126,5
9.02,2.25,130,0.63,84,4
3,2.25,130,1.09,145,7
7.41,2.25,220,0.63,97,2.25
3.78,2.25,220,1.09,168,5.75
3.72,2.5,175,0.86,168,3.5
