ID,PRODUCT
C-11,BAGUETTE
C-11,HERRING
C-11,AVOCADO
C-11,ARTICHOKE
C-11,HEINEKEN
C-11,APPLES
C-11,CORNED BEEF
C-12,HERRING
C-12,CORNED BEEF
C-12,APPLES
C-12,OLIVES
C-12,STEAK
C-12,SARDINES
C-12,HEINEKEN
C-13,BAGUETTE
C-13,SARDINES
C-13,APPLES
C-13,PEPPERS
C-13,AVOCADO
C-13,STEAK
C-13,ICE CREAM
C-14,HERRING
C-14,CORNED BEEF
C-14,OLIVES
C-14,HAM
C-14,TURKEY
C-14,COKE
C-14,APPLES
C-15,OLIVES
C-15,BOURBON
C-15,COKE
C-15,TURKEY
C-15,ICE CREAM
C-15,ARTICHOKE
C-15,HAM
C-16,BAGUETTE
C-16,HERRING
C-16,AVOCADO
C-16,ARTICHOKE
C-16,HEINEKEN
C-16,COKE
C-16,TURKEY
C-17,SARDINES
C-17,HEINEKEN
C-17,CHICKEN
C-17,COKE
C-17,ICE CREAM
C-17,CORNED BEEF
C-17,APPLES
C-18,SODA
C-18,OLIVES
C-18,BOURBON
C-18,CRACKERS
C-18,HEINEKEN
C-18,BAGUETTE
C-18,PEPPERS
C-19,SODA
C-19,OLIVES
C-19,BOURBON
C-19,CRACKERS
C-19,HEINEKEN
C-19,STEAK
C-19,HERRING
C-20,HERRING
C-20,CORNED BEEF
C-20,OLIVES
C-20,HAM
C-20,TURKEY
C-20,APPLES
C-20,BAGUETTE
C-21,BAGUETTE
C-21,HERRING
C-21,AVOCADO
C-21,ARTICHOKE
C-21,HEINEKEN
C-21,BOURBON
C-21,CORNED BEEF
C-22,SODA
C-22,OLIVES
C-22,BOURBON
C-22,CRACKERS
C-22,HEINEKEN
C-22,ARTICHOKE
C-22,STEAK
C-23,SODA
C-23,OLIVES
C-23,BOURBON
C-23,CRACKERS
C-23,HEINEKEN
C-23,CORNED BEEF
C-23,HERRING
C-24,SARDINES
C-24,HEINEKEN
C-24,CHICKEN
C-24,COKE
C-24,ICE CREAM
C-24,APPLES
C-24,BAGUETTE
C-25,SARDINES
C-25,HEINEKEN
C-25,CHICKEN
C-25,COKE
C-25,ICE CREAM
C-25,CORNED BEEF
C-25,PEPPERS
C-26,OLIVES
C-26,BOURBON
C-26,COKE
C-26,TURKEY
C-26,ICE CREAM
C-26,APPLES
C-26,BAGUETTE
C-27,OLIVES
C-27,BOURBON
C-27,COKE
C-27,TURKEY
C-27,ICE CREAM
C-27,SODA
C-27,AVOCADO
C-28,SODA
C-28,OLIVES
C-28,BOURBON
C-28,CRACKERS
C-28,HEINEKEN
C-28,ARTICHOKE
C-28,PEPPERS
C-29,OLIVES
C-29,BOURBON
C-29,COKE
C-29,TURKEY
C-29,ICE CREAM
C-29,SARDINES
C-29,SODA
C-30,OLIVES
C-30,BOURBON
C-30,COKE
C-30,TURKEY
C-30,ICE CREAM
C-30,SODA
C-30,HAM
