PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,FUR_EXTEMP,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR
PB562774,2008-08-01:00:00:15,양품,AB/EH32-TM,T1,32.25,3707,15109,14180,1호기,1,1144,116,1133,59,282,1133,934,적용,8,2조
PB562775,2008-08-01:00:00:16,양품,AB/EH32-TM,T1,32.25,3707,15109,14180,1호기,2,1144,122,1135,53,283,1135,937,적용,8,2조
PB562776,2008-08-01:00:00:59,양품,NV-E36-TM,T8,33.27,3619,19181,18130,2호기,1,1129,116,1121,55,282,1121,889,적용,8,3조
PB562777,2008-08-01:00:01:24,양품,NV-E36-TM,T8,33.27,3619,19181,18130,2호기,2,1152,125,1127,68,316,1127,885,적용,8,3조
PB562778,2008-08-01:00:01:44,양품,BV-EH36-TM,T8,38.33,3098,13334,12430,3호기,1,1140,134,1128,48,314,1128,873,적용,8,1조
PB562779,2008-08-01:00:02:06,양품,BV-EH36-TM,T8,38.33,3098,13334,12430,3호기,2,1143,127,1128,57,314,1128,874,적용,8,4조
PB562780,2008-08-01:00:02:28,양품,BV-EH36-TM,T8,38.33,3099,16719,15590,1호기,1,1138,126,1130,50,289,1130,878,적용,8,2조
PB562781,2008-08-01:00:02:21,양품,BV-EH36-TM,T8,38.33,3099,16719,15590,1호기,2,1139,126,1131,52,294,1131,870,적용,8,4조
PB562782,2008-08-01:00:02:51,양품,BV-EH36-TM,T8,38.33,3099,16719,15590,2호기,1,1127,126,1122,52,293,1122,873,적용,8,1조
PB562783,2008-08-01:00:03:15,양품,COMMON,T8,38.43,3129,16187,15280,2호기,2,1135,119,1124,73,298,1124,881,적용,8,4조
PB562784,2008-08-01:00:03:24,양품,COMMON,T8,38.43,3129,16187,15280,3호기,1,1127,134,1123,58,297,1123,869,적용,8,2조
PB562785,2008-08-01:00:04:15,불량,COMMON,T8,38.43,3129,16187,30560,3호기,2,1131,120,1125,68,299,1125,1057,적용,8,2조
PB562786,2008-08-01:00:04:20,양품,COMMON,T8,38.43,3129,16187,15280,1호기,1,1132,125,1127,62,290,1127,820,적용,8,3조
PB562787,2008-08-01:00:05:47,양품,COMMON,T0,30.23,1940,34797,16020,1호기,2,1119,130,1120,65,324,1120,926,적용,8,4조
PB562788,2008-08-01:00:05:25,양품,GL-E32-TM,T1,34.28,2207,30543,18140,2호기,1,1119,126,1119,72,311,1119,931,적용,8,3조
PB562789,2008-08-01:00:05:16,불량,GL-E32-TM,T1,50.46,2185,21767,37680,3호기,1,1127,127,1123,71,312,1123,929,적용,5,2조
PB562790,2008-08-01:01:10:14,양품,GL-E32-TM,T1,50.46,2200,21756,37920,2호기,2,1134,127,1124,92,329,1124,929,적용,6,2조
PB562791,2008-08-01:01:10:14,양품,GL-E32-TM,T1,50.46,2200,21756,37920,3호기,2,1124,117,1124,87,315,1124,929,적용,6,3조
PB562792,2008-08-01:01:10:44,양품,GL-E32-TM,T1,50.46,2200,21756,37920,1호기,1,1129,122,1125,78,313,1125,925,적용,6,2조
PB562793,2008-08-01:01:11:01,양품,GL-E32-TM,T1,50.46,2200,21756,37920,2호기,2,1124,54,1127,78,312,1127,928,적용,6,2조
PB562794,2008-08-01:01:11:08,양품,BV-EH36-TM,T8,50.46,2000,24500,38820,1호기,2,1110,123,1116,81,334,1116,860,적용,6,1조
PB562795,2008-08-01:01:12:45,양품,GL-E36-TM,T8,44.39,2040,27501,39100,2호기,1,1114,64,1120,82,335,1120,836,적용,6,4조
PB562796,2008-08-01:01:12:49,양품,GL-E36-TM,T8,44.39,2040,27501,39100,3호기,1,1113,124,1120,82,334,1120,832,적용,6,1조
PB562797,2008-08-01:01:13:47,양품,GL-E36-TM,T8,48.44,2095,24490,39020,3호기,2,1118,71,1124,86,336,1124,832,적용,6,3조
PB562798,2008-08-01:01:13:05,양품,GL-E36-TM,T8,48.44,2095,24490,39020,1호기,1,1117,69,1120,88,347,1120,832,적용,6,3조
PB562799,2008-08-01:01:14:20,양품,GL-E36-TM,T8,48.44,2000,25588,38920,1호기,2,1108,62,1117,97,351,1117,841,적용,6,3조
PB562800,2008-08-01:01:14:53,양품,COMMON,T1,45.4,2150,18453,14140,2호기,1,1123,62,1123,101,332,1123,933,적용,6,1조
PB562801,2008-08-01:01:14:25,양품,COMMON,T1,45.4,2150,18453,14140,2호기,2,1132,70,1126,95,344,1126,933,적용,6,1조
PB562802,2008-08-01:01:15:39,양품,COMMON,T1,45.4,2150,18453,14140,3호기,1,1129,43,1125,109,335,1125,937,적용,6,4조
PB562803,2008-08-01:01:15:14,양품,COMMON,T1,45.4,2090,18419,13720,3호기,2,1134,70,1127,94,335,1127,930,적용,6,1조
PB562804,2008-08-01:01:15:59,양품,COMMON,T1,45.4,2090,18419,13720,1호기,1,1124,78,1124,94,335,1124,936,적용,6,1조
PB562805,2008-08-01:01:15:34,양품,COMMON,T1,45.4,2090,18419,13720,1호기,2,1126,74,1125,92,334,1125,933,적용,6,1조
PB562806,2008-08-01:02:20:52,양품,COMMON,T8,44.9,3125,14008,15430,2호기,1,1111,61,1123,108,336,1123,838,적용,6,3조
PB562807,2008-08-01:02:20:28,양품,GL-E36-TM,T8,44.39,2495,15677,27260,2호기,2,1133,75,1127,91,347,1127,837,적용,6,3조
PB562808,2008-08-01:02:21:27,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,3호기,1,1133,57,1125,103,339,1125,862,적용,6,4조
PB562809,2008-08-01:02:21:11,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,3호기,2,1127,63,1128,106,337,1128,862,적용,6,4조
PB562810,2008-08-01:02:21:37,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,1호기,1,1133,70,1126,91,337,1126,861,적용,6,2조
PB562811,2008-08-01:02:21:17,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,1호기,2,1122,57,1123,105,337,1123,862,적용,6,4조
PB562812,2008-08-01:02:22:11,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,2호기,1,1133,84,1124,81,338,1124,856,적용,6,2조
PB562813,2008-08-01:02:22:16,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,2호기,2,1133,93,1127,75,330,1127,860,적용,6,3조
PB562814,2008-08-01:02:22:18,양품,GL-E36-TM,T8,55.51,3765,11398,37400,3호기,1,1126,62,1125,106,340,1125,863,적용,6,3조
PB562815,2008-08-01:02:23:09,양품,GL-E36-TM,T8,55.51,3765,11398,37400,3호기,2,1132,95,1128,80,341,1128,0,적용,6,1조
