GLASS,JUDGE,DT_1EXPOSURE,DT_2DEVELOP,DT_3FIRE,MC_1EXPOSURE,MC_2DEVELOP,MC_3FIRE
GLS-001,양품,2013-03-04T21:29:42,2013-03-04T21:35:33,2013-03-04T22:14:33,2호기,2호기,1호기
GLS-002,양품,2013-03-04T22:32:26,2013-03-04T22:38:57,2013-03-04T23:17:33,1호기,1호기,1호기
GLS-003,양품,2013-03-05T14:18:46,2013-03-05T14:25:53,2013-03-05T14:54:10,2호기,1호기,2호기
GLS-004,양품,2013-03-05T14:20:16,2013-03-05T14:27:05,2013-03-05T14:58:33,1호기,1호기,1호기
GLS-005,명점,2013-03-05T14:54:22,2013-03-05T15:00:33,2013-03-05T15:28:43,1호기,2호기,2호기
GLS-006,양품,2013-03-05T14:55:26,2013-03-05T15:01:45,2013-03-05T15:37:43,2호기,1호기,2호기
GLS-007,양품,2013-03-05T15:13:16,2013-03-05T15:19:25,2013-03-05T15:55:10,2호기,1호기,2호기
GLS-008,양품,2013-03-05T15:21:14,2013-03-05T15:27:41,2013-03-05T15:57:33,2호기,1호기,1호기
GLS-009,양품,2013-03-05T15:19:56,2013-03-05T15:26:13,2013-03-05T16:01:43,1호기,2호기,2호기
GLS-010,양품,2013-03-05T15:17:24,2013-03-05T15:23:33,2013-03-05T16:02:33,1호기,2호기,1호기
GLS-011,명점,2013-03-05T15:22:36,2013-03-05T15:29:17,2013-03-05T16:06:00,1호기,2호기,1호기
GLS-012,양품,2013-03-05T15:24:04,2013-03-05T15:30:33,2013-03-05T16:07:43,2호기,1호기,2호기
GLS-013,양품,2013-03-05T15:30:46,2013-03-05T15:37:09,2013-03-05T16:10:10,2호기,2호기,2호기
GLS-014,양품,2013-03-05T15:26:56,2013-03-05T15:34:17,2013-03-05T16:13:10,2호기,2호기,2호기
GLS-015,양품,2013-03-05T15:33:30,2013-03-05T15:40:05,2013-03-05T16:14:33,2호기,2호기,1호기
GLS-016,양품,2013-03-05T15:36:28,2013-03-05T15:42:57,2013-03-05T16:16:10,2호기,2호기,2호기
GLS-017,양품,2013-03-05T15:46:08,2013-03-05T15:52:17,2013-03-05T16:28:10,1호기,2호기,2호기
GLS-018,양품,2013-03-05T15:48:40,2013-03-05T15:54:57,2013-03-05T16:29:33,1호기,1호기,1호기
GLS-019,양품,2013-03-05T15:49:56,2013-03-05T15:56:37,2013-03-05T16:31:10,2호기,1호기,2호기
GLS-020,양품,2013-03-05T15:44:52,2013-03-05T15:51:01,2013-03-05T16:33:43,2호기,1호기,2호기
GLS-021,양품,2013-03-05T15:58:28,2013-03-05T16:04:57,2013-03-05T16:41:33,1호기,2호기,1호기
GLS-022,양품,2013-03-05T16:01:02,2013-03-05T16:07:41,2013-03-05T16:44:00,1호기,2호기,1호기
GLS-023,양품,2013-03-05T16:03:38,2013-03-05T16:10:29,2013-03-05T16:45:43,1호기,1호기,2호기
GLS-024,양품,2013-03-05T16:04:54,2013-03-05T16:11:57,2013-03-05T16:48:43,2호기,1호기,2호기
GLS-025,양품,2013-03-05T16:06:16,2013-03-05T16:13:17,2013-03-05T16:49:33,1호기,1호기,1호기
GLS-026,명점,2013-03-05T16:10:06,2013-03-05T16:17:29,2013-03-05T16:54:10,2호기,2호기,2호기
GLS-027,양품,2013-03-05T16:12:52,2013-03-05T16:20:17,2013-03-05T16:59:33,2호기,1호기,1호기
GLS-028,양품,2013-03-05T16:17:30,2013-03-05T16:24:29,2013-03-05T17:07:00,1호기,2호기,1호기
GLS-029,양품,2013-03-05T16:23:34,2013-03-05T16:30:05,2013-03-05T17:15:33,1호기,1호기,1호기
GLS-030,양품,2013-03-05T16:33:04,2013-03-05T16:39:53,2013-03-05T17:17:10,2호기,2호기,2호기
GLS-031,양품,2013-03-05T16:30:24,2013-03-05T16:37:05,2013-03-05T17:23:43,2호기,1호기,2호기
GLS-032,양품,2013-03-05T16:31:38,2013-03-05T16:38:29,2013-03-05T17:30:10,1호기,2호기,2호기
GLS-033,명점,2013-03-05T17:00:14,2013-03-05T17:06:37,2013-03-05T17:50:43,1호기,2호기,1호기
GLS-034,양품,2013-03-05T17:10:42,2013-03-05T17:16:53,2013-03-05T17:54:33,2호기,1호기,1호기
GLS-035,양품,2013-03-05T17:05:54,2013-03-05T17:12:49,2013-03-05T17:57:33,1호기,2호기,1호기
GLS-036,양품,2013-03-05T17:15:26,2013-03-05T17:21:37,2013-03-05T18:01:00,1호기,2호기,1호기
GLS-037,양품,2013-03-05T17:13:18,2013-03-05T17:20:13,2013-03-05T18:04:00,2호기,1호기,1호기
GLS-038,양품,2013-03-05T17:22:38,2013-03-05T17:28:45,2013-03-05T18:11:00,2호기,1호기,1호기
GLS-039,양품,2013-03-05T17:27:36,2013-03-05T17:34:33,2013-03-05T18:14:00,2호기,2호기,1호기
GLS-040,명점,2013-03-05T17:29:50,2013-03-05T17:37:01,2013-03-05T18:18:10,1호기,2호기,1호기
GLS-041,양품,2013-03-05T17:33:24,2013-03-05T17:39:37,2013-03-05T18:19:33,1호기,1호기,1호기
GLS-042,양품,2013-03-05T17:34:30,2013-03-05T17:40:45,2013-03-05T18:23:33,2호기,1호기,1호기
GLS-043,양품,2013-03-05T17:38:46,2013-03-05T17:45:45,2013-03-05T18:27:00,1호기,2호기,1호기
GLS-044,양품,2013-03-05T17:44:14,2013-03-05T17:50:13,2013-03-05T18:29:33,2호기,1호기,1호기
GLS-045,양품,2013-03-05T17:51:44,2013-03-05T17:58:37,2013-03-05T18:41:33,2호기,2호기,1호기
GLS-046,양품,2013-03-05T17:50:28,2013-03-05T17:57:29,2013-03-05T18:43:10,1호기,1호기,2호기
GLS-047,양품,2013-03-05T17:57:30,2013-03-05T18:03:37,2013-03-05T18:45:40,2호기,2호기,2호기
GLS-048,양품,2013-03-05T18:01:12,2013-03-05T18:07:33,2013-03-05T18:53:33,1호기,1호기,1호기
GLS-049,양품,2013-03-05T18:06:18,2013-03-05T18:13:09,2013-03-05T18:54:43,1호기,2호기,2호기
GLS-050,양품,2013-03-05T18:08:54,2013-03-05T18:15:57,2013-03-05T18:57:43,1호기,2호기,2호기
GLS-051,양품,2013-03-05T18:07:32,2013-03-05T18:14:33,2013-03-05T18:59:00,2호기,1호기,1호기
GLS-052,양품,2013-03-05T18:10:10,2013-03-05T18:17:21,2013-03-05T19:02:00,2호기,1호기,1호기
GLS-053,명점,2013-03-05T18:12:46,2013-03-05T18:20:09,2013-03-05T19:04:10,2호기,2호기,2호기
GLS-054,양품,2013-03-05T18:15:18,2013-03-05T18:22:57,2013-03-05T19:06:43,2호기,1호기,2호기
GLS-055,양품,2013-03-05T18:21:42,2013-03-05T18:29:57,2013-03-05T19:16:33,1호기,2호기,1호기
GLS-056,양품,2013-03-05T18:25:30,2013-03-05T18:34:09,2013-03-05T19:18:10,2호기,1호기,2호기
